alpha, beta, c, latent_features, steps, NDCG
100, 0.0001, 100, 50, 200, 0.3622709131656061
100, 0.0001, 100, 50, 250, 0.3945610562122518
100, 0.0001, 100, 70, 100, 0.37626447960720383
100, 0.0001, 100, 70, 150, 0.390862299597095
100, 0.0001, 100, 70, 200, 0.3578165991546472
100, 0.0001, 100, 70, 250, 0.37741968471113657
100, 0.0001, 100, 90, 100, 0.37389611025547287
100, 0.0001, 100, 90, 150, 0.35330950991483023
100, 0.0001, 100, 90, 200, 0.3617388642158516
100, 0.0001, 100, 90, 250, 0.3740923837334584
100, 0.0001, 100, 110, 100, 0.4095892617692066
100, 0.0001, 100, 110, 150, 0.35962552991977154
100, 0.0001, 100, 110, 200, 0.32792477065431264
100, 0.0001, 100, 110, 250, 0.36241138467697837
100, 0.0001, 10, 3, 100, 0.25153098260310275
100, 0.0001, 10, 3, 150, 0.27831965617917653
100, 0.0001, 10, 3, 200, 0.24466795884733306
100, 0.0001, 10, 3, 250, 0.22985136860949887
100, 0.0001, 10, 10, 100, 0.32382331621920324
100, 0.0001, 10, 10, 150, 0.3377095851268713
100, 0.0001, 10, 10, 200, 0.35424926746480745
100, 0.0001, 10, 10, 250, 0.3725214450724028
100, 0.0001, 10, 30, 100, 0.37042969680347243
100, 0.0001, 10, 30, 150, 0.3788748001803727
100, 0.0001, 10, 30, 200, 0.3883531311655565
100, 0.0001, 10, 30, 250, 0.38421936696199416
100, 0.0001, 10, 50, 100, 0.39486106017759526
100, 0.0001, 10, 50, 150, 0.3977444943801467
100, 0.0001, 10, 50, 200, 0.42091115683647523
100, 0.0001, 10, 50, 250, 0.4261267610665622
100, 0.0001, 10, 70, 100, 0.39580597400263323
100, 0.0001, 10, 70, 150, 0.4035183797575955
100, 0.0001, 10, 70, 200, 0.40473612985938695
100, 0.0001, 10, 70, 250, 0.392910911210094
100, 0.0001, 10, 90, 100, 0.41010775415315687
100, 0.0001, 10, 90, 150, 0.4137167300303953
100, 0.0001, 10, 90, 200, 0.35885065011356637
100, 0.0001, 10, 90, 250, 0.35303688701304936
100, 0.0001, 10, 110, 100, 0.35653532500829144
100, 0.0001, 10, 110, 150, 0.3687018655784804
100, 0.0001, 10, 110, 200, 0.34845263713059826
100, 0.0001, 10, 110, 250, 0.32233675471069717
100, 0.0001, 1, 3, 100, 0.23530235986823658
100, 0.0001, 1, 3, 150, 0.26665381433501717
100, 0.0001, 1, 3, 200, 0.25251294871409197
100, 0.0001, 1, 3, 250, 0.27303795701490685
100, 0.0001, 1, 10, 100, 0.41264065506892506
100, 0.0001, 1, 10, 150, 0.4081325840717953
100, 0.0001, 1, 10, 200, 0.42200876315372904
100, 0.0001, 1, 10, 250, 0.43070836785030153
100, 0.0001, 1, 30, 100, 0.45885797354561236
100, 0.0001, 1, 30, 150, 0.4348103291395462
100, 0.0001, 1, 30, 200, 0.4753690092216435
100, 0.0001, 1, 30, 250, 0.4755562944798837
100, 0.0001, 1, 50, 100, 0.3972723292179495
100, 0.0001, 1, 50, 150, 0.37687545372564935
100, 0.0001, 1, 50, 200, 0.33167938163961536
100, 0.0001, 1, 50, 250, 0.36372124050611476
100, 0.0001, 1, 70, 100, 0.38383912111485025
100, 0.0001, 1, 70, 150, 0.2986945154383637
100, 0.0001, 1, 70, 200, 0.250337056788511
100, 0.0001, 1, 70, 250, 0.1880024165267925
100, 0.0001, 1, 90, 100, 0.3479289756510477
100, 0.0001, 1, 90, 150, 0.2668494765489757
100, 0.0001, 1, 90, 200, 0.2389811506102589
100, 0.0001, 1, 90, 250, 0.208311063107667
100, 0.0001, 1, 110, 100, 0.3701882045664131
100, 0.0001, 1, 110, 150, 0.28313219819517443
100, 0.0001, 1, 110, 200, 0.24024852520717288
100, 0.0001, 1, 110, 250, 0.19178860287099322
100, 0.0001, 0.1, 3, 100, 0.26704556645167793
100, 0.0001, 0.1, 3, 150, 0.27077448956721484
100, 0.0001, 0.1, 3, 200, 0.24652873172185827
100, 0.0001, 0.1, 3, 250, 0.27294686775979043
100, 0.0001, 0.1, 10, 100, 0.40716448578851605
100, 0.0001, 0.1, 10, 150, 0.40018935196095107
100, 0.0001, 0.1, 10, 200, 0.40370626320659964
100, 0.0001, 0.1, 10, 250, 0.41044406242851145
100, 0.0001, 0.1, 30, 100, 0.48085903164547816
100, 0.0001, 0.1, 30, 150, 0.4589827028686493
100, 0.0001, 0.1, 30, 200, 0.4425831015838071
100, 0.0001, 0.1, 30, 250, 0.45734880745803186
100, 0.0001, 0.1, 50, 100, 0.361135658931909
100, 0.0001, 0.1, 50, 150, 0.33920631696362236
100, 0.0001, 0.1, 50, 200, 0.3081769981465927
100, 0.0001, 0.1, 50, 250, 0.31528136135214824
100, 0.0001, 0.1, 70, 100, 0.22433823883800524
100, 0.0001, 0.1, 70, 150, 0.1695312213643522
100, 0.0001, 0.1, 70, 200, 0.18595058337228834
100, 0.0001, 0.1, 70, 250, 0.16987388689339458
100, 0.0001, 0.1, 90, 100, 0.2087822377452484
100, 0.0001, 0.1, 90, 150, 0.161944295311284
100, 0.0001, 0.1, 90, 200, 0.12573188823004458
100, 0.0001, 0.1, 90, 250, 0.10311287740292713
100, 0.0001, 0.1, 110, 100, 0.19827883481053013
100, 0.0001, 0.1, 110, 150, 0.14959977325412466
100, 0.0001, 0.1, 110, 200, 0.13728911641340477
100, 0.0001, 0.1, 110, 250, 0.14851668215343622
100, 0.0001, 0.01, 3, 100, 0.2601956002669117
100, 0.0001, 0.01, 3, 150, 0.2359195917507559
100, 0.0001, 0.01, 3, 200, 0.25683445927827436
100, 0.0001, 0.01, 3, 250, 0.25320887790318186
