alpha, beta, latent_features, steps, C, NDCG
100000000.0, 1000000.0, 5, 150, 1e-05, 0.38496688949593055
100000000.0, 1000000.0, 5, 150, 1e-06, 0.37174714967872524
100000000.0, 1000000.0, 5, 150, 0, 0.35277058759333824
100000000.0, 1000000.0, 5, 200, 1000, 0.1426102312506
100000000.0, 1000000.0, 5, 200, 100, nan
100000000.0, 1000000.0, 5, 200, 1, 0.2989220910581854
100000000.0, 1000000.0, 5, 200, 0.1, 0.09059472999414446
100000000.0, 1000000.0, 5, 200, 0.01, 0.38162725858628016
100000000.0, 1000000.0, 5, 200, 0.001, 0.35672738721982966
100000000.0, 1000000.0, 5, 200, 0.0001, 0.40429708592152436
100000000.0, 1000000.0, 5, 200, 1e-05, 0.3396267850712152
100000000.0, 1000000.0, 5, 200, 1e-06, 0.36797609120537805
100000000.0, 1000000.0, 5, 200, 0, 0.3503052892039604
100000000.0, 1000000.0, 10, 1, 1000, 0.12003585377959528
100000000.0, 1000000.0, 10, 1, 100, 0.07907293602113341
100000000.0, 1000000.0, 10, 1, 1, 0.09394313995916793
100000000.0, 1000000.0, 10, 1, 0.1, 0.11389077880938274
100000000.0, 1000000.0, 10, 1, 0.01, 0.11418080805579976
100000000.0, 1000000.0, 10, 1, 0.001, 0.07661321862502504
100000000.0, 1000000.0, 10, 1, 0.0001, 0.11258924737937077
100000000.0, 1000000.0, 10, 1, 1e-05, 0.09153952901180551
100000000.0, 1000000.0, 10, 1, 1e-06, 0.0623099657152027
100000000.0, 1000000.0, 10, 1, 0, 0.10908341888495614
100000000.0, 1000000.0, 10, 50, 1000, 0.13438056627983427
100000000.0, 1000000.0, 10, 50, 100, nan
100000000.0, 1000000.0, 10, 50, 1, 0.06515332264081565
100000000.0, 1000000.0, 10, 50, 0.1, 0.16560581590608303
100000000.0, 1000000.0, 10, 50, 0.01, 0.35714868218411666
100000000.0, 1000000.0, 10, 50, 0.001, 0.31489047673402254
100000000.0, 1000000.0, 10, 50, 0.0001, 0.30039734707384197
100000000.0, 1000000.0, 10, 50, 1e-05, 0.3252635599169723
100000000.0, 1000000.0, 10, 50, 1e-06, 0.37247670799863053
100000000.0, 1000000.0, 10, 50, 0, 0.33755040827444804
100000000.0, 1000000.0, 10, 100, 1000, 0.1420639132307073
100000000.0, 1000000.0, 10, 100, 100, nan
